Clan,CubID,Mom,Year,Date,Killers,KillerGroan.,SocialFacilitation.,Consumed.by,Other.behavoirs,Den.Name,Communal.or.natal.,moved.from.den.,Category,MomPresent,FateOfBody,SampleCollected,CubSex,AggressorSex,Notes,age_at_death,DOB
serena.n,phln,fuzz,2015,1/4/2015,,no,yes,,groomed and guarded by fuzz. Distressed sounds from mother,IAT D2,communal,,confident,yes,unknown,N,,,"round of aggressions involving fuzz occurred at den before cub found dead being protected by fuzz. Fuzz emmitted unusual, distressed sounding vocalizations (according to TMM and EDS who were observers)",1.673585246,11/14/2014
happy.zebra,unid_2,,2017,4/1/2017,clay,no,no,"krkn, chpa,",,Ele D,communal,Yes,confident,no,unknown,N,,F,"spontaneously killed by clay, skull crushed",2,NA
talek,xxx,hg,1996,12/20/1996,jj,yes,no,,,,communal,,confident,no,collected,Y,F,F,jj coaxed cubs out of den and killed them. Reported in White,0.229707779,12/13/1996
talek,xyz,hg,1996,12/20/1996,jj,yes,no,,,,communal,,confident,no,collected,Y,M,F,jj coaxed cubs out of den and killed them. Reported in White,0.229707779,12/13/1996
mara.river,gmo,mlt,2002,6/20/2002,wnd,no,no,mlt,groomed by mlt,Rocky Place D,communal,Yes - 22 minutes,confident,yes,eaten,Y,,F,cub snatched from den entrance and killed,1.181354291,5/15/2002
amboseli,rod,pryt,2005,6/27/2005,vic,no,yes,pryt,"groomed by pryt, spontaneous giggling and squealing",Air D,communal,No,confident,yes,collected,Y,F,F,cub killed (skull crushed) as mom is delivering it to the new communal den. There were many hyenas involved attacking the mother ,2.001739216,4/27/2005
talek,tuli,sbl,2012,1/10/2012,mos,no,no,mos (13 minutes),,Rbend D,communal,,confident,no,eaten,Y,,F,"mos unprov approached cub,crushed skull, and ate it",1.281314,12/2/2011
serena.s,maku,slin,2012,1/29/2012,clov,no,no,"rnch, clov, whiz",smelled/licked by whiz and rnch,Hatch D,communal,,confident,no,eaten,N,,F,clov observed to crush skull of maku,1.804846834,12/5/2011
serena.n,gurl,hkr,2015,3/5/2015,logc,yes,no,"logc's cub soup, gbb",,Fab D,communal,,confident,no,eaten/collected,Y,M,F,logc killed cub by crushing skull - there is video. Note that in determining the contributions of different causes of death this case was recoded to be 'death of mother' because this cub was orphaned at time of infanticide,1.837662231,1/8/2015
happy.zebra,amta,silk,2015,6/28/2015,pike,no,yes,"pike, dawa (eaten in 50 minutes)",silk rolls in blood,Cannibal C D,communal,,confident,yes,eaten,N,F,F,"in depth description of attack in notes, pike highest ranking in clan",4.856678754,1/31/2015
happy.zebra,vin,coel,2016,4/9/2016,clay,no,no,,,Houdini D,communal,Yes (21 minutes),confident,no,unknown,N,,F,"clay was carrying cub as it was dying, skull was crushed",4.955124945,11/10/2015
serena.s,mstm,whiz,2017,5/27/2017,,,,,killed in association with major fight between matrilines,,communal,No,confident,yes,unknown,N,,,found dying with skull crushed. This event occurred during a major fight between matrilines,6.727156382,11/3/2016
talek,dcub,bb,1992,4/14/1992,,,,,mother lying by cub,,communal,,likely,unknown,unknown,N,F,,found at den with mom lying by dead cub,2.362708583,2/2/1992
serena.n,hall,shrm,2013,1/1/2013,,,,shrm,groomed and guarded by shrm,Merry Christmas D,communal,,likely,unknown,eaten,N,,,"found dead by den half eaten, body protected by shrm - looks like infanticide, whole top half of the body is already eaten",1.476692864,11/17/2012
serena.s,hsky,tru,2015,2/21/2015,,,,"java, bang",,crhodes,communal,,likely,unknown,eaten,N,,,"found dead being eaten by java who has a small puncture wound on right front leg, mother seen day after  - looks like infanticide, but no note about skull crushing",2.690862553,12/1/2014
serena.n,eot,pol,2018,8/31/2018,,,,pol,,,communal,,likely,unknown,eaten,N,,,"found polar eating her cub at communal den. looks like infanticide, whole top half of the body is already eaten",0.557861749,8/14/2018
amboseli,jer,fig,2004,1/8/2004,,,,"amb, char, brie, zsa","guarded by sndy, gda, and tht",Sdy D,communal,,confident,unknown,eaten,N,,,"cub found freshly killed, cause of death unknown, cub and mom inferred",2.329893186,10/29/2003
happy.zebra,nmn,ring,2014,9/25/2014,,,,cami,"""sad"" whoops by mother, cami played with body",,communal,,confident,unknown,eaten,N,,,"cub was eaten by cami, but cami is to young to have killed the cub",2.362708583,7/15/2014
talek,mc1,bd,1989,9/23/1989,,,,,,,communal,,confident,unknown,collected,Y,F,,"cub found dead with crushed skull, mom inferred due to presence at den",1.443877467,8/10/1989
mara.river,wdk,com,2005,12/6/2005,,,,,groomed,Amtrak D,communal,,confident,unknown,collected,Y,M,,found dead with skull crushed being carried by eco,0.557861749,11/19/2005
happy.zebra,nvrl,saw,2009,2/16/2009,,,,,groomed by saw,Amazon D,communal,No,confident,unknown,collected,Y,M,,"necropsy lists  cause of death as ""crushed skull by a conspecific""",0.492230955,2/1/2009
