id,sex,disappeared,mom,birthdate,mortality,clan,mom_disappeared,age_at_death
amta,f,6/28/15,silk,1/31/15,infanticide,happy.zebra,FALSE,4.862422998
maku,u,1/29/12,slin,12/5/11,infanticide,serena.s,FALSE,1.80698152
unid_1,u,4/1/17,,NA,infanticide,happy.zebra,NA,2
wm,f,3/13/95,jab,7/7/94,illness,talek,FALSE,8.180698152
cly,u,11/3/90,sr,9/30/90,flooded den,talek,FALSE,1.117043121
elv,u,11/8/90,mw,9/15/90,flooded den,talek,FALSE,1.77412731
fy,m,12/6/90,dj,10/7/90,flooded den,talek,FALSE,1.971252567
nmn,u,9/25/14,ring,7/15/14,infanticide,happy.zebra,FALSE,2.36550308
1361,u,6/2/18,gel,12/13/17,human,kcm,FALSE,5.618069815
cla,f,11/22/89,xs,5/15/89,human,talek,FALSE,6.275154004
mor,m,7/5/99,jj,11/21/98,human,talek,FALSE,7.425051335
wash,m,8/27/97,nav,10/23/96,human,talek,FALSE,10.11909651
boba,f,12/30/01,sein,6/1/01,human,talek,FALSE,6.965092402
mop,m,5/24/92,dj,11/13/91,human,talek,FALSE,6.340862423
no,m,3/26/95,scy,11/15/94,human,talek,TRUE,4.303901437
warf,m,3/27/95,scy,11/15/94,human,talek,TRUE,4.336755647
xxx,f,12/20/96,hg,12/13/96,infanticide,talek,FALSE,0.229979466
xyz,m,12/20/96,hg,12/13/96,infanticide,talek,FALSE,0.229979466
vin,u,4/9/16,coel,11/10/15,infanticide,happy.zebra,FALSE,4.960985626
gurl,m,3/5/15,hkr,1/8/15,infanticide,serena.n,TRUE,1.839835729
phln,u,1/4/15,fuzz,11/14/14,infanticide,serena.n,FALSE,1.675564682
hsky,u,2/21/15,tru,12/1/14,infanticide,serena.s,FALSE,2.694045175
mc1,f,9/23/89,,8/10/89,infanticide,talek,NA,1.445585216
dcub,f,4/14/92,bb,2/2/92,infanticide,talek,FALSE,2.36550308
runt,u,1/28/92,gw,12/15/91,illness,talek,FALSE,1.445585216
crln,u,7/18/94,bsh,7/4/94,illness,talek,FALSE,0.459958932
gg,u,7/18/94,bsh,7/4/94,illness,talek,FALSE,0.459958932
tdee,f,7/16/96,bb,3/20/96,illness,talek,FALSE,3.876796715
luk,m,1/22/98,sein,12/8/97,illness,talek,FALSE,1.478439425
hall,u,1/1/13,shrm,11/17/12,infanticide,serena.n,FALSE,1.478439425
jer,u,1/8/04,fig,10/29/03,infanticide,oltukai,FALSE,2.332648871
eot,u,8/31/18,pol,NA,infanticide,serena.n,FALSE,0.557861749
wdk,m,12/6/05,com,11/19/05,infanticide,mara.river,FALSE,0.558521561
nvrl,m,2/16/09,saw,2/1/09,infanticide,happy.zebra,FALSE,0.492813142
jsh,m,8/14/01,wnd,1/15/01,lion,mara.river,FALSE,6.932238193
nmlk,m,12/4/07,nana,5/10/07,lion,mara.river,FALSE,6.833675565
kiba,,2/16/15,lu,10/15/14,lion,fig.tree,TRUE,4.073921971
viv,f,2/6/95,hk,7/1/94,lion,talek,TRUE,7.227926078
bc,m,6/24/95,gol,1/20/95,lion,talek,FALSE,5.092402464
cyp,m,12/18/99,bern,5/13/99,lion,talek,FALSE,7.195071869
pcs,m,9/4/00,hg,3/24/00,lion,talek,FALSE,5.388090349
turk,m,8/9/04,art,2/7/04,lion,talek,FALSE,6.045174538
sky,f,4/16/06,eco,11/16/05,lion,mara.river,TRUE,4.960985626
fp,f,8/29/91,kb,12/15/90,lion,talek,FALSE,8.443531828
sha,m,10/6/96,gil,11/7/95,lion,talek,FALSE,10.97330595
wy,f,6/24/91,bsh,10/5/90,lion,talek,FALSE,8.607802875
dum,m,11/29/94,bm,7/12/94,lion,talek,FALSE,4.599589322
fgo,m,7/8/07,cmta,3/20/07,lion,fig.tree,FALSE,3.613963039
arms,f,1/12/11,ali,10/14/10,lion,talek,FALSE,2.95687885
