id,sex,disappeared,mom,birthdate,mortality_source,mortality,clan,mom_disappeared,age_at_death
jebe,m,5/5/2016,bora,5/11/2015,,unknown,talek,FALSE,11.8275154
rmki,f,9/13/2016,byte,11/22/2015,,unknown,talek,FALSE,9.724845996
lotu,u,4/9/2016,chco,10/31/2015,,unknown,talek,FALSE,5.289527721
snhc,u,3/13/2016,neon,12/22/2015,,unknown,talek,FALSE,2.694045175
eham,u,3/20/2016,lust,2/4/2016,,unknown,talek,FALSE,1.478439425
bmbl,u,3/20/2016,lust,2/4/2016,,unknown,talek,FALSE,1.478439425
mvua,,12/23/2016,pbut,12/29/2015,,unknown,talek,FALSE,11.8275154
ica,,4/22/2017,hel,10/28/2016,,unknown,talek,FALSE,5.782340862
cala,m,4/9/2017,bora,10/12/2016,,unknown,talek,FALSE,5.880903491
huvo,,7/3/2017,tgpi,11/3/2016,,unknown,talek,FALSE,7.950718686
snpy,,4/4/2017,goof,10/6/2016,,unknown,talek,FALSE,5.9137577
nght,u,10/10/2011,pot,10/15/2010,,unknown,fig.tree,FALSE,11.8275154
loha,u,2/21/2016,wran,10/29/2015,,unknown,talek,FALSE,3.778234086
chsy,u,3/13/2016,neon,12/22/2015,,unknown,talek,FALSE,2.694045175
aber,u,4/23/2003,eco,2/23/2003,,unknown,mara.river,FALSE,1.938398357
acia,u,1/27/2012,obam,11/19/2011,,unknown,talek,FALSE,2.266940452
add,u,11/14/2003,jut,9/9/2003,,unknown,talek,FALSE,2.168377823
all,f,1/22/2002,who,8/6/2001,,unknown,talek,FALSE,5.552361396
alta,m,11/1/2013,bab,3/26/2013,,unknown,talek,FALSE,7.227926078
amh,u,4/15/2010,sam,7/19/2009,,unknown,talek,FALSE,8.87063655
ande,u,11/14/2013,hel,9/26/2013,,unknown,talek,FALSE,1.609856263
andr,m,12/18/2002,mrph,3/8/2002,,unknown,talek,FALSE,9.363449692
aq,u,12/9/1992,2,4/7/1992,,unknown,talek,FALSE,8.082135524
aran,u,3/24/2006,eco,11/16/2005,,unknown,mara.river,TRUE,4.205338809
asp,u,12/12/1998,bern,11/30/1998,,unknown,talek,FALSE,0.394250513
bass,f,6/22/2001,amar,6/25/2000,,unknown,talek,FALSE,11.89322382
bay,u,1/12/1997,jab,10/13/1996,,unknown,talek,FALSE,2.98973306
bea,m,11/30/1994,bail,11/26/1994,,unknown,talek,FALSE,0.131416838
bec,u,1/11/2002,wnd,12/24/2001,,unknown,mara.river,FALSE,0.59137577
belm,u,12/10/2015,neon,3/8/2015,,unknown,talek,FALSE,9.100616016
benz,u,12/19/2001,jj,11/21/2001,,unknown,talek,FALSE,0.919917864
bett,u,12/12/2003,spw,11/1/2003,,unknown,oltukai,FALSE,1.347022587
bilb,u,3/1/1991,es,1/16/1991,,unknown,talek,FALSE,1.445585216
bky,m,4/12/2004,zsa,12/23/2003,,unknown,oltukai,FALSE,3.646817248
bmr,f,12/19/2001,jj,11/21/2001,,unknown,talek,FALSE,0.919917864
bn,f,6/13/1991,sr,9/30/1990,,unknown,talek,TRUE,8.410677618
bnl,u,2/16/2004,zsa,12/23/2003,,unknown,oltukai,FALSE,1.80698152
bob,f,7/22/2006,dsn,12/1/2005,,unknown,mara.river,FALSE,7.655030801
brb,u,1/22/1998,ua,1/20/1998,,unknown,talek,FALSE,0.065708419
brgy,u,4/30/2013,mos,12/6/2012,,unknown,talek,FALSE,4.76386037
bsk,f,6/29/2002,back,12/13/2001,,unknown,mara.river,FALSE,6.50513347
but,f,8/24/1992,23s,6/5/1992,,unknown,talek,FALSE,2.628336756
bwd,u,1/30/2004,zsa,12/23/2003,,unknown,oltukai,FALSE,1.248459959
cal,u,3/5/1994,hk,1/5/1994,,unknown,talek,FALSE,1.938398357
cap,f,2/27/1990,27,3/20/1989,,unknown,talek,FALSE,11.30184805
capn,u,7/20/2005,hrp,6/1/2005,,unknown,talek,FALSE,1.609856263
casp,u,1/4/2004,chn,11/2/2003,,unknown,oltukai,FALSE,2.069815195
catn,m,12/24/2013,adon,2/24/2013,,unknown,talek,FALSE,9.954825462
cay,u,11/2/2002,amar,10/4/2002,,unknown,talek,FALSE,0.952772074
chad,m,9/9/2001,cr,12/24/2000,,unknown,talek,FALSE,8.509240246
chau,u,2/14/2000,who,12/15/1999,,unknown,talek,FALSE,2.004106776
chek,m,9/12/2006,adon,1/14/2006,,unknown,talek,FALSE,7.917864476
chna,u,1/5/2006,chw,12/7/2005,,unknown,talek,FALSE,0.952772074
chr,u,3/5/1994,coch,1/10/1994,,unknown,talek,FALSE,1.77412731
chry,,2/3/2010,flfy,1/1/2010,unknown,unknown,fig.tree,FALSE,1.084188912
cino,f,6/2/2004,tals,10/27/2003,,unknown,oltukai,TRUE,7.195071869
cnt,u,5/10/1997,gol,3/24/1997,,unknown,talek,FALSE,1.544147844
col,m,3/28/2004,inca,7/5/2003,,unknown,airstrip,FALSE,8.772073922
coop,u,1/25/2003,wnd,11/6/2002,,unknown,mara.river,FALSE,2.628336756
cop,u,6/29/2002,ath,5/7/2002,,unknown,talek,FALSE,1.741273101
cron,u,4/13/2011,mrph,12/18/2010,,unknown,talek,TRUE,3.811088296
csp,u,12/11/1997,jab,12/11/1997,,unknown,talek,FALSE,0
dali,u,10/26/2001,hg,9/28/2001,,unknown,talek,FALSE,0.919917864
db,m,9/14/1988,gw,10/1/1987,,unknown,talek,FALSE,11.4661191
dc2,u,11/10/1996,ger,11/4/1996,,unknown,talek,FALSE,0.197125257
